Aquamarine,#7FFFD4,
Blue,#0000FF,
BlueViolet,#8A2BE2,
Brown,#A52A2A,
BurlyWood,#DEB887,
CadetBlue,#5F9EA0,
Chartreuse,#7FFF00,
Chocolate,#D2691E,
Coral,#FF7F50,
CornflowerBlue,#6495ED,
Crimson,#DC143C,
Cyan,#00FFFF,
DarkBlue,#00008B,
DarkKhaki,#BDB76B,
DarkMagenta,#8B008B,
DarkOliveGreen,#556B2F,
DarkOrange,#FF8C00,
DarkOrchid,#9932CC,
DarkRed,#8B0000,
DarkViolet,#9400D3,
DeepPink,#FF1493,
DodgerBlue,#1E90FF,
FireBrick,#B22222,
Gold,#FFD700,
GoldenRod,#DAA520,
Gray,#808080,
Green,#008000,
GreenYellow,#ADFF2F,
HotPink,#FF69B4,
IndianRed,#CD5C5C,
OrangeRed,#FF4500,
Orchid,#DA70D6,
Peru,#CD853F,
Plum,#DDA0DD,
PowderBlue,#B0E0E6,
Purple,#800080,
Red,#FF0000,
RosyBrown,#BC8F8F,
RoyalBlue,#4169E1,
SaddleBrown,#8B4513,
Salmon,#FA8072,
SandyBrown,#F4A460,
SeaGreen,#2E8B57,
Sienna,#A0522D,
Silver,#C0C0C0,
SkyBlue,#87CEEB,
SlateBlue,#6A5ACD,
SlateGray,#708090,
SpringGreen,#00FF7F,
SteelBlue,#4682B4,
Tan,#D2B48C,
Teal,#008080,
Thistle,#D8BFD8,
Tomato,#FF6347,
Yellow,#FFFF00,
YellowGreen,#9ACD32,
